t|uc_0|ud|yd
0|3.5e-05|no
60|3.5e-05|no
120|3.5e-05|no
180|3.5e-05|no
240|3.5e-05|no
300|3.5e-05|no
360|3.5e-05|no
420|3.5e-05|no
480|3.5e-05|no
540|3.5e-05|no
600|3.5e-05|no
660|3.5e-05|no
720|3.5e-05|no
780|3.5e-05|no
840|3.5e-05|no
900|3.5e-05|no
960|3.5e-05|no
1020|3.5e-05|no
1080|3.5e-05|no
1140|3.5e-05|no
1200|3.5e-05|no
1260|3.5e-05|no
1320|3.5e-05|no
1380|3.5e-05|no
1440|3.5e-05|no
1500|3.5e-05|no
1560|3.5e-05|no
1620|3.5e-05|no
1680|3.5e-05|no
1740|3.5e-05|no
1800|3.5e-05|no
1860|3.5e-05|no
1920|3.5e-05|no
1980|3.5e-05|no
2040|3.5e-05|no
2100|3.5e-05|no
2160|3.5e-05|no
2220|3.5e-05|no
2280|3.5e-05|no
2340|3.5e-05|no
2400|3.5e-05|no
2460|3.5e-05|no
2520|3.5e-05|no
2580|3.5e-05|no
2640|3.5e-05|no
2700|3.5e-05|no
2760|3.5e-05|no
2820|3.5e-05|no
2880|3.5e-05|no
2940|3.5e-05|no
3000|3.5e-05|no
3060|3.5e-05|no
3120|3.5e-05|no
3180|3.5e-05|no
3240|3.5e-05|no
3300|3.5e-05|no
3360|3.5e-05|no
3420|3.5e-05|no
3480|3.5e-05|no
3540|3.5e-05|no
3600|3.5e-05|no
3660|3.5e-05|no
3720|3.5e-05|no
3780|3.5e-05|no
3840|3.5e-05|no
3900|3.5e-05|no
3960|3.5e-05|no
4020|3.5e-05|no
4080|3.5e-05|no
4140|3.5e-05|no
4200|3.5e-05|no
4260|3.5e-05|no
4320|3.5e-05|no
4380|3.5e-05|no
4440|3.5e-05|no
4500|3.5e-05|no
4560|3.5e-05|no
4620|3.5e-05|no
4680|3.5e-05|no
4740|3.5e-05|no
4800|3.5e-05|no
4860|3.5e-05|no
4920|3.5e-05|no
4980|3.5e-05|no
5040|3.5e-05|no
5100|3.5e-05|no
5160|3.5e-05|no
5220|3.5e-05|no
5280|3.5e-05|no
5340|3.5e-05|no
5400|3.5e-05|no
5460|3.5e-05|no
5520|3.5e-05|no
5580|3.5e-05|no
5640|3.5e-05|no
5700|3.5e-05|no
5760|3.5e-05|no
5820|3.5e-05|no
5880|3.5e-05|no
5940|3.5e-05|no
6000|3.5e-05|no
6060|3.5e-05|no
6120|3.5e-05|no
6180|3.5e-05|no
6240|3.5e-05|no
6300|3.5e-05|no
6360|3.5e-05|no
6420|3.5e-05|no
6480|3.5e-05|no
6540|3.5e-05|no
6600|3.5e-05|no
6660|3.5e-05|no
6720|3.5e-05|no
6780|3.5e-05|no
6840|3.5e-05|no
6900|3.5e-05|no
6960|3.5e-05|no
7020|3.5e-05|no
7080|3.5e-05|no
7140|3.5e-05|no
7200|3.5e-05|no
7260|3.5e-05|no
7320|3.5e-05|no
7380|3.5e-05|no
7440|3.5e-05|no
7500|3.5e-05|no
7560|3.5e-05|no
7620|3.5e-05|no
7680|3.5e-05|no
7740|3.5e-05|no
7800|3.5e-05|no
7860|3.5e-05|no
7920|3.5e-05|no
7980|3.5e-05|no
8040|3.5e-05|no
8100|3.5e-05|no
8160|3.5e-05|no
8220|3.5e-05|no
8280|3.5e-05|no
8340|3.5e-05|no
8400|3.5e-05|no
8460|3.5e-05|no
8520|3.5e-05|no
8580|3.5e-05|no
8640|3.5e-05|no
8700|3.5e-05|no
8760|3.5e-05|no
8820|3.5e-05|no
8880|3.5e-05|no
8940|3.5e-05|no
9000|3.5e-05|no
9060|3.5e-05|no
9120|3.5e-05|no
9180|3.5e-05|no
9240|3.5e-05|no
9300|3.5e-05|no
9360|3.5e-05|no
9420|3.5e-05|no
9480|3.5e-05|no
9540|3.5e-05|no
9600|3.5e-05|no
9660|3.5e-05|no
9720|3.5e-05|no
9780|3.5e-05|no
9840|3.5e-05|no
